Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
PCLN, The Priceline Group Inc., 1866.21, 6.43,0.35, 253864, .3,
TSCO, Tractor Supply Company, 60.61, -0.64,-1.04, 2033091, -.1,
FOX, Twenty-First Century Fox Inc., 26.38, 0.11,0.42, 2350730, .1,
FOXA, Twenty-First Century Fox Inc., 26.87, 0.17,0.64, 4043929, .2,
ULTA, Ulta Beauty Inc., 223.84, -0.61,-0.27, 623149, .0,
VRSK, Verisk Analytics Inc., 82.09, 0.38,0.47, 571118, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 152.72, -0.28,-0.18, 1931404, -.1,
VIAB, Viacom Inc., 27.72, 0.58,2.14, 3975824, .2,
VOD, Vodafone Group Plc, 28.86, 0,0, 2423972, .0,
WBA, Walgreens Boots Alliance Inc., 78.84, -2.37,-2.92, 9417183, -2.2,
WDC, Western Digital Corporation, 86.37, -3.55,-3.95, 7817739, -.9,
WYNN, Wynn Resorts Limited, 145.69, -1.32,-0.9, 1223550, -.1,
XLNX, Xilinx Inc., 69.49, -0.33,-0.47, 2492828, -.1,
